epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5307.65,0.39804,0.48316,0.95356,0.73342,0.92587,0.75332,0.68397,0.3978,0.67868,0.89332,0.008086,0.008086,0.008086
60,5397.74,0.39286,0.47706,0.94935,0.72578,0.92255,0.74918,0.68847,0.38135,0.67355,0.8987,0.008053,0.008053,0.008053
61,5487.68,0.3964,0.47772,0.95266,0.73486,0.89276,0.74863,0.67174,0.39268,0.68987,0.91634,0.00802,0.00802,0.00802
62,5577.55,0.3956,0.47365,0.95072,0.72716,0.91346,0.7592,0.69351,0.38982,0.65219,0.89972,0.007987,0.007987,0.007987
63,5667.41,0.38801,0.47089,0.94443,0.74181,0.91168,0.75596,0.69262,0.3792,0.66322,0.91028,0.007954,0.007954,0.007954
64,5757.22,0.38671,0.47161,0.94614,0.73312,0.92448,0.76192,0.69112,0.3926,0.64528,0.90711,0.007921,0.007921,0.007921
65,5847.13,0.38317,0.47671,0.94421,0.75123,0.94471,0.75906,0.69067,0.40038,0.60448,0.92467,0.007888,0.007888,0.007888
66,5937.11,0.3843,0.46957,0.94416,0.7498,0.87886,0.75237,0.68466,0.37419,0.6564,0.89304,0.007855,0.007855,0.007855
67,6027.01,0.37806,0.46361,0.94426,0.7317,0.91827,0.7539,0.69414,0.36376,0.6372,0.87206,0.007822,0.007822,0.007822
68,6117.03,0.38016,0.46692,0.94393,0.74059,0.91959,0.75325,0.68468,0.38738,0.642,0.89451,0.007789,0.007789,0.007789
69,6206.91,0.3831,0.46624,0.94195,0.72816,0.9351,0.75476,0.69524,0.37225,0.62784,0.88886,0.007756,0.007756,0.007756
70,6296.88,0.37867,0.45457,0.94108,0.73015,0.91587,0.76189,0.69958,0.38206,0.63226,0.91181,0.007723,0.007723,0.007723
71,6386.84,0.37596,0.45672,0.94052,0.71305,0.94471,0.75391,0.69199,0.3802,0.65761,0.89344,0.00769,0.00769,0.00769
72,6476.82,0.3739,0.45894,0.93844,0.72796,0.91983,0.75455,0.6913,0.37004,0.63351,0.89766,0.007657,0.007657,0.007657
73,6566.8,0.3721,0.46229,0.94138,0.73091,0.9351,0.75905,0.69757,0.3756,0.63061,0.90148,0.007624,0.007624,0.007624
